metric,value,MSL
Precision,0.076903,
Recall/TPR,0.387072,
F1-Score,0.128313,
FNR,0.612928,
TNR,0.451941,
FPR,0.548059,
TP,3006,
TN,29754,
FP,36082,
FN,4760,
Threshold,0.247116,
Total_Processed,73602,
Anomalies_Detected,39088,
Processing_Time,459.18,
metric,value,MSL
Precision,0.130199,
Recall/TPR,0.957396,
F1-Score,0.229224,
FNR,0.042604,
TNR,0.229837,
FPR,0.770163,
TP,7573,
TN,15098,
FP,50592,
FN,337,
Threshold,0.245684,
Total_Processed,73600,
Anomalies_Detected,29120,
Processing_Time,421.5,
metric,value,smap
Precision,0.128967,
Recall/TPR,0.743666,
F1-Score,0.219813,
FNR,0.256334,
TNR,0.259305,
FPR,0.740695,
TP,40857,
TN,96604,
FP,275946,
FN,14083,
Threshold,0.242417,
Total_Processed,427490,
Anomalies_Detected,211795,
Processing_Time,970.51,
metric,value,psm
Precision,0.537502,
Recall/TPR,0.279903,
F1-Score,0.368112,
FNR,0.720097,
TNR,0.905961,
FPR,0.094039,
TP,6894,
TN,57148,
FP,5932,
FN,17736,
Threshold,0.152335,
Total_Processed,87710,
Anomalies_Detected,0,
Processing_Time,193.9,
metric,value,swat
Precision,0.894187,
Recall/TPR,0.600055,
F1-Score,0.718172,
FNR,0.399945,
TNR,0.990158,
FPR,0.009842,
TP,32856,
TN,391147,
FP,3888,
FN,21899,
Threshold,0.549395,
Total_Processed,449790,
Anomalies_Detected,260410,
Processing_Time,2344.94,
metric,value
Precision,0.041481
Recall/TPR,0.945765
F1-Score,0.079477
FNR,0.054235
TNR,0.007992
FPR,0.992008
TP,29087
TN,5415
FP,672120
FN,1668
Threshold,0.11952280029654502
Total_Processed,708290
Anomalies_Detected,0
Processing_Time,2961.77
